Item,Description,Proper,Vender Desc,UM,UL,Crew,Output,Material,Labor,Equipment,Total
02-47-13-40-1060,"Sanitary piping demolition, remove sewer pipe, not including excavation, 10"" diameter","               10"" dia.","Remove sewer pipe, no excavation, 10"" dia.",LF,0.126,A1,190,,9.68,7.41,$17.09
02-47-13-40-1062,"            10"" dia.","            10"" dia.",,,,,,,,,
02-47-13-40-1064,"Sanitary piping demolition, remove sewer pipe, not including excavation, 10"" diameter, minimum",               Minimum,"Remove sewer pipe, no excavation, 10"" dia, min",LF,0.086,A1,280,,6.6,5.02,$11.62
02-47-13-40-1066,"Sanitary piping demolition, remove sewer pipe, not including excavation, 10"" diameter, average",               Average,"Remove sewer pipe, no excavation, 10"" dia, avg",LF,0.126,A1,190,,9.68,7.41,$17.09
02-47-13-40-1068,"Sanitary piping demolition, remove sewer pipe, not including excavation, 10"" diameter, maximum",               Maximum,"Remove sewer pipe, no excavation, 10"" dia, max",LF,0.267,A1,90,,20.46,15.62,$36.08
02-47-13-40-1080,"Sanitary piping demolition, remove sewer pipe, not including excavation, 12"" diameter","               12"" dia.","Remove sewer pipe, no excavation, 12"" dia.",LF,0.133,A1,180,,10.34,7.81,$18.15
02-47-13-40-1082,"            12"" dia.","            12"" dia.",,,,,,,,,
02-47-13-40-1084,"Sanitary piping demolition, remove sewer pipe, not including excavation, 12"" diameter, minimum",               Minimum,"Remove sewer pipe, no excavation, 12"" dia, min",LF,0.092,A1,260,,7.11,5.41,$12.52
02-47-13-40-1086,"Sanitary piping demolition, remove sewer pipe, not including excavation, 12"" diameter, average",               Average,"Remove sewer pipe, no excavation, 12"" dia, avg",LF,0.133,A1,180,,10.34,7.81,$18.15
02-47-13-40-1088,"Sanitary piping demolition, remove sewer pipe, not including excavation, 12"" diameter, maximum",               Maximum,"Remove sewer pipe, no excavation, 12"" dia, max",LF,0.3,A1,80,,23.1,17.6,$40.70
02-47-13-40-1100,"Sanitary piping demolition, remove sewer pipe, not including excavation, 15"" diameter","               15"" dia.","Remove sewer pipe, no excavation, 15"" dia.",LF,0.141,A1,170,,10.78,8.28,$19.06
02-47-13-40-1102,"            15"" dia.","            15"" dia.",,,,,,,,,
02-47-13-40-1104,"Sanitary piping demolition, remove sewer pipe, not including excavation, 15"" diameter, minimum",               Minimum,"Remove sewer pipe, no excavation, 15"" dia, min",LF,0.1,A1,240,,7.7,5.86,$13.56
02-47-13-40-1106,"Sanitary piping demolition, remove sewer pipe, not including excavation, 15"" diameter, average",               Average,"Remove sewer pipe, no excavation, 15"" dia, avg",LF,0.141,A1,170,,10.78,8.28,$19.06
02-47-13-40-1108,"Sanitary piping demolition, remove sewer pipe, not including excavation, 15"" diameter, maximum",               Maximum,"Remove sewer pipe, no excavation, 15"" dia, max",LF,0.343,A1,70,,26.4,20.02,$46.42
02-47-13-40-1120,"Sanitary piping demolition, remove sewer pipe, not including excavation, 18"" diameter","               18"" dia.","Remove sewer pipe, no excavation, 18"" dia.",LF,0.16,A1,150,,12.32,9.46,$21.78
02-47-13-40-1122,"            18"" dia.","            18"" dia.",,,,,,,,,
02-47-13-40-1124,"Sanitary piping demolition, remove sewer pipe, not including excavation, 18"" diameter, minimum",               Minimum,"Remove sewer pipe, no excavation, 18"" dia, min",LF,0.109,A1,220,,8.4,6.4,$14.80
02-47-13-40-1126,"Sanitary piping demolition, remove sewer pipe, not including excavation, 18"" diameter, average",               Average,"Remove sewer pipe, no excavation, 18"" dia, avg",LF,0.16,A1,150,,12.32,9.46,$21.78
02-47-13-40-1128,"Sanitary piping demolition, remove sewer pipe, not including excavation, 18"" diameter, maximum",               Maximum,"Remove sewer pipe, no excavation, 18"" dia, max",LF,0.4,A1,60,,30.8,23.54,$54.34
02-47-13-40-1140,"Sanitary piping demolition, remove sewer pipe, not including excavation, 24"" diameter","               24"" dia.","Remove sewer pipe, no excavation, 24"" dia.",LF,0.2,A1,120,,15.4,11.66,$27.06
02-47-13-40-1142,"            24"" dia.","            24"" dia.",,,,,,,,,
02-47-13-40-1144,"Sanitary piping demolition, remove sewer pipe, not including excavation, 24"" diameter, minimum",               Minimum,"Remove sewer pipe, no excavation, 24"" dia, min",LF,0.12,A1,200,,9.24,7.04,$16.28
02-47-13-40-1146,"Sanitary piping demolition, remove sewer pipe, not including excavation, 24"" diameter, average",               Average,"Remove sewer pipe, no excavation, 24"" dia, avg",LF,0.2,A1,120,,15.4,11.66,$27.06
02-47-13-40-1148,"Sanitary piping demolition, remove sewer pipe, not including excavation, 24"" diameter, maximum",               Maximum,"Remove sewer pipe, no excavation, 24"" dia, max",LF,0.48,A1,50,,36.96,28.16,$65.12
02-47-13-40-1160,"Sanitary piping demolition, remove sewer pipe, not including excavation, 30"" diameter","               30"" dia.","Remove sewer pipe, no excavation, 30"" dia.",LF,0.24,A1,100,,18.48,14.08,$32.56
02-47-13-40-1162,"            30"" dia.","            30"" dia.",,,,,,,,,
02-47-13-40-1164,"Sanitary piping demolition, remove sewer pipe, not including excavation, 30"" diameter, minimum",               Minimum,"Remove sewer pipe, no excavation, 30"" dia, min",LF,0.133,A1,180,,10.34,7.81,$18.15
02-47-13-40-1166,"Sanitary piping demolition, remove sewer pipe, not including excavation, 30"" diameter, average",               Average,"Remove sewer pipe, no excavation, 30"" dia, avg",LF,0.24,A1,100,,18.48,14.08,$32.56
02-47-13-40-1168,"Sanitary piping demolition, remove sewer pipe, not including excavation, 30"" diameter, maximum",               Maximum,"Remove sewer pipe, no excavation, 30"" dia, max",LF,0.6,A1,40,,46.64,35.2,$81.84
02-47-13-40-1180,"Sanitary piping demolition, remove sewer pipe, not including excavation, 36"" diameter","               36"" dia.","Remove sewer pipe, no excavation, 36"" dia.",LF,0.3,A1,80,,23.1,17.6,$40.70
02-47-13-40-1182,"            36"" dia.","            36"" dia.",,,,,,,,,
02-47-13-40-1184,"Sanitary piping demolition, remove sewer pipe, not including excavation, 36"" diameter, minimum",               Minimum,"Remove sewer pipe, no excavation, 36"" dia, min",LF,0.16,A1,150,,12.32,9.46,$21.78
02-47-13-40-1186,"Sanitary piping demolition, remove sewer pipe, not including excavation, 36"" diameter, average",               Average,"Remove sewer pipe, no excavation, 36"" dia, avg",LF,0.3,A1,80,,23.1,17.6,$40.70
02-47-13-40-1188,"Sanitary piping demolition, remove sewer pipe, not including excavation, 36"" diameter, maximum",               Maximum,"Remove sewer pipe, no excavation, 36"" dia, max",LF,0.8,A1,30,,61.6,46.64,$108.24
02-48,WATER PIPING DEMOLITION,WATER PIPING DEMOLITION,WATER PIPING DEMOLITION,,,,,,,,
02-48-13-40,WATER PIPING DEMOLITION,WATER PIPING DEMOLITION,WATER PIPING,,,,,,,,
02-48-13-40-0980,"   Remove water pipe, not including excavation","   Remove water pipe, not including excavation",,,,,,,,,
02-48-13-40-1000,"Water piping demolition, remove water pipe, not including excavation, 4"" diameter","               4"" dia.","Remove water pipe, no excavation, 4"" dia.",LF,0.109,A1,220,,8.4,6.4,$14.80
02-48-13-40-1002,"            4"" dia.","            4"" dia.",,,,,,,,,
02-48-13-40-1004,"Water piping demolition, remove water pipe, not including excavation, 4"" diameter, minimum",               Minimum,"Remove water pipe, no excavation, 4"" dia, min",LF,0.096,A1,250,,7.39,5.63,$13.02
02-48-13-40-1006,"Water piping demolition, remove water pipe, not including excavation, 4"" diameter, average",               Average,"Remove water pipe, no excavation, 4"" dia, avg",LF,0.109,A1,220,,8.4,6.4,$14.80
02-48-13-40-1008,"Water piping demolition, remove water pipe, not including excavation, 4"" diameter, maximum",               Maximum,"Remove water pipe, no excavation, 4"" dia, max",LF,0.126,A1,190,,9.68,7.41,$17.09
02-48-13-40-1020,"Water piping demolition, remove water pipe, not including excavation, 6"" diameter","               6"" dia.","Remove water pipe, no excavation, 6"" dia.",LF,0.114,A1,210,,8.8,6.7,$15.50
02-48-13-40-1022,"            6"" dia.","            6"" dia.",,,,,,,,,
02-48-13-40-1024,"Water piping demolition, remove water pipe, not including excavation, 6"" diameter, minimum",               Minimum,"Remove water pipe, no excavation, 6"" dia, min",LF,0.1,A1,240,,7.7,5.86,$13.56
02-48-13-40-1026,"Water piping demolition, remove water pipe, not including excavation, 6"" diameter, average",               Average,"Remove water pipe, no excavation, 6"" dia, avg",LF,0.114,A1,210,,8.8,6.7,$15.50
02-48-13-40-1028,"Water piping demolition, remove water pipe, not including excavation, 6"" diameter, maximum",               Maximum,"Remove water pipe, no excavation, 6"" dia, max",LF,0.133,A1,180,,10.34,7.81,$18.15
02-48-13-40-1040,"Water piping demolition, remove water pipe, not including excavation, 8"" diameter","               8"" dia.","Remove water pipe, no excavation, 8"" dia.",LF,0.126,A1,190,,9.68,7.41,$17.09
02-48-13-40-1042,"            8"" dia.","            8"" dia.",,,,,,,,,
02-48-13-40-1044,"Water piping demolition, remove water pipe, not including excavation, 8"" diameter, minimum",               Minimum,"Remove water pipe, no excavation, 8"" dia, min",LF,0.109,A1,220,,8.4,6.4,$14.80
02-48-13-40-1046,"Water piping demolition, remove water pipe, not including excavation, 8"" diameter, average",               Average,"Remove water pipe, no excavation, 8"" dia, avg",LF,0.126,A1,190,,9.68,7.41,$17.09
02-48-13-40-1048,"Water piping demolition, remove water pipe, not including excavation, 8"" diameter, maximum",               Maximum,"Remove water pipe, no excavation, 8"" dia, max",LF,0.15,A1,160,,11.66,8.8,$20.46
02-48-13-40-1050,"Water piping demolition, remove water pipe, not including excavation, 10"" diameter","               10"" dia.","Remove water pipe, no excavation, 10"" dia.",LF,0.133,A1,180,,10.34,7.81,$18.15
02-48-13-40-1062,"            10"" dia.","            10"" dia.",,,,,,,,,
02-48-13-40-1064,"Water piping demolition, remove water pipe, not including excavation, 10"" diameter, minimum",               Minimum,"Remove water pipe, no excavation, 10"" dia, min",LF,0.114,A1,210,,8.8,6.7,$15.50
02-48-13-40-1066,"Water piping demolition, remove water pipe, not including excavation, 10"" diameter, average",               Average,"Remove water pipe, no excavation, 10"" dia, avg",LF,0.133,A1,180,,10.34,7.81,$18.15
02-48-13-40-1068,"Water piping demolition, remove water pipe, not including excavation, 10"" diameter, maximum",               Maximum,"Remove water pipe, no excavation, 10"" dia, max",LF,0.16,A1,150,,12.32,9.46,$21.78
02-48-13-40-1080,"Water piping demolition, remove water pipe, not including excavation, 12"" diameter","               12"" dia.","Remove water pipe, no excavation, 12"" dia.",LF,0.141,A1,170,,10.78,8.28,$19.06
02-48-13-40-1082,"            12"" dia.","            12"" dia.",,,,,,,,,
02-48-13-40-1084,"Water piping demolition, remove water pipe, not including excavation, 12"" diameter, minimum",               Minimum,"Remove water pipe, no excavation, 12"" dia, min",LF,0.12,A1,200,,9.24,7.04,$16.28
02-48-13-40-1086,"Water piping demolition, remove water pipe, not including excavation, 12"" diameter, average",               Average,"Remove water pipe, no excavation, 12"" dia, avg",LF,0.141,A1,170,,10.78,8.28,$19.06
02-48-13-40-1088,"Water piping demolition, remove water pipe, not including excavation, 12"" diameter, maximum",               Maximum,"Remove water pipe, no excavation, 12"" dia, max",LF,0.171,A1,140,,13.2,10.12,$23.32
02-48-13-40-1100,"Water piping demolition, remove water pipe, not including excavation, 14"" diameter","               14"" dia.","Remove water pipe, no excavation, 14"" dia.",LF,0.15,A1,160,,11.66,8.8,$20.46
02-48-13-40-1102,"            14"" dia.","            14"" dia.",,,,,,,,,
02-48-13-40-1104,"Water piping demolition, remove water pipe, not including excavation, 14"" diameter, minimum",               Minimum,"Remove water pipe, no excavation, 14"" dia, min",LF,0.126,A1,190,,9.68,7.41,$17.09
02-48-13-40-1106,"Water piping demolition, remove water pipe, not including excavation, 14"" diameter, average",               Average,"Remove water pipe, no excavation, 14"" dia, avg",LF,0.15,A1,160,,11.66,8.8,$20.46
02-48-13-40-1108,"Water piping demolition, remove water pipe, not including excavation, 14"" diameter, maximum",               Maximum,"Remove water pipe, no excavation, 14"" dia, max",LF,0.185,A1,130,,14.3,10.78,$25.08
02-48-13-40-1120,"Water piping demolition, remove water pipe, not including excavation, 16"" diameter","               16"" dia.","Remove water pipe, no excavation, 16"" dia.",LF,0.16,A1,150,,12.32,9.46,$21.78
02-48-13-40-1122,"            16"" dia.","            16"" dia.",,,,,,,,,
02-48-13-40-1124,"Water piping demolition, remove water pipe, not including excavation, 16"" diameter, minimum",               Minimum,"Remove water pipe, no excavation, 16"" dia, min",LF,0.133,A1,180,,10.34,7.81,$18.15
02-48-13-40-1126,"Water piping demolition, remove water pipe, not including excavation, 16"" diameter, average",               Average,"Remove water pipe, no excavation, 16"" dia, avg",LF,0.16,A1,150,,12.32,9.46,$21.78
02-48-13-40-1128,"Water piping demolition, remove water pipe, not including excavation, 16"" diameter, maximum",               Maximum,"Remove water pipe, no excavation, 16"" dia, max",LF,0.2,A1,120,,15.4,11.66,$27.06
02-48-13-40-1140,"Water piping demolition, remove water pipe, not including excavation, 18"" diameter","               18"" dia.","Remove water pipe, no excavation, 18"" dia.",LF,0.171,A1,140,,13.2,10.12,$23.32
02-48-13-40-1142,"            18"" dia.","            18"" dia.",,,,,,,,,
02-48-13-40-1144,"Water piping demolition, remove water pipe, not including excavation, 18"" diameter, minimum",               Minimum,"Remove water pipe, no excavation, 18"" dia, min",LF,0.141,A1,170,,10.78,8.28,$19.06
02-48-13-40-1146,"Water piping demolition, remove water pipe, not including excavation, 18"" diameter, average",               Average,"Remove water pipe, no excavation, 18"" dia, avg",LF,0.171,A1,140,,13.2,10.12,$23.32
02-48-13-40-1148,"Water piping demolition, remove water pipe, not including excavation, 18"" diameter, maximum",               Maximum,"Remove water pipe, no excavation, 18"" dia, max",LF,0.218,A1,110,,16.72,12.76,$29.48
02-48-13-40-1160,"Water piping demolition, remove water pipe, not including excavation, 20"" diameter","               20"" dia.","Remove water pipe, no excavation, 20"" dia.",LF,0.185,A1,130,,14.3,10.78,$25.08
02-48-13-40-1162,"            20"" dia.","            20"" dia.",,,,,,,,,
02-48-13-40-1164,"Water piping demolition, remove water pipe, not including excavation, 20"" diameter, minimum",               Minimum,"Remove water pipe, no excavation, 20"" dia, min",LF,0.15,A1,160,,11.66,8.8,$20.46
02-48-13-40-1166,"Water piping demolition, remove water pipe, not including excavation, 20"" diameter, average",               Average,"Remove water pipe, no excavation, 20"" dia, avg",LF,0.185,A1,130,,14.3,10.78,$25.08
02-48-13-40-1168,"Water piping demolition, remove water pipe, not including excavation, 20"" diameter, maximum",               Maximum,"Remove water pipe, no excavation, 20"" dia, max",LF,0.24,A1,100,,18.48,14.08,$32.56
02-48-13-40-1180,         Remove valves,         Remove valves,,,,,,,,,
02-48-13-40-1200,"Water piping demolition, remove valves, 6""","               6""","Remove water pipe valves, 6""",EA,1.2,A1,20,,96.8,70.4,$167.20
02-48-13-40-1220,"Water piping demolition, remove valves, 10""","               10""","Remove water pipe valves, 10""",EA,1.333,A1,18,,105.6,78.32,$183.92
02-48-13-40-1240,"Water piping demolition, remove valves, 14""","               14""","Remove water pipe valves, 14""",EA,1.5,A1,16,,114.4,88,$202.40
02-48-13-40-1260,"Water piping demolition, remove valves, 18""","               18""","Remove water pipe valves, 18""",EA,2,A1,12,,158.4,114.4,$272.80
02-49,EXTERIOR DEMOLITION,EXTERIOR DEMOLITION,SAW CUTTING PAVEMENT,,,,,,,,
02-49-13-50,SAW CUTTING PAVEMENT,SAW CUTTING PAVEMENT,SAW CUTTING PAVEMENT,,,,,,,,
02-49-13-50-0100,"      Pavement, bituminous","      Pavement, bituminous",,,,,,,,,
